AKV_60_05_2	159635
AKV_60_05_3	106589
AKV_60_05_4	80167
AKV_60_05_5	64323
AKV_70_05_2	2109701.5
AKV_70_05_3	1407753.5
AKV_70_05_4	1057026.5
AKV_70_05_5	846208.5
Am12a_2	1529
Am12a_3	1028
Am12a_4	785
Am12a_5	629
Am12b_2	1609.5
Am12b_3	1117.5
Am12b_4	855.5
Am12b_5	617.5
Am13a_2	2467.5
Am13a_3	1569.5
Am13a_4	1145.5
Am13a_5	882.5
Am13b_2	2870
Am13b_3	1904
Am13b_4	1372
Am13b_5	1085
Am15_2	3195
Am15_3	2167
Am15_4	1656
Am15_5	1289
CAP_n60_p30_s30_1_2	204089
CAP_n60_p30_s30_1_3	136256
CAP_n60_p30_s30_1_4	102208
CAP_n60_p30_s30_1_5	81523
CAP_n60_p30_s30_2_2	193177.5
CAP_n60_p30_s30_2_3	128798.5
CAP_n60_p30_s30_2_4	96634.5
CAP_n60_p30_s30_2_5	77274.5
CAP_n60_p30_s30_3_2	161466.5
CAP_n60_p30_s30_3_3	107739.5
CAP_n60_p30_s30_3_4	80647.5
CAP_n60_p30_s30_3_5	64603.5
CAP_n60_p30_s40_1_2	135125.5
CAP_n60_p30_s40_1_3	90070.5
CAP_n60_p30_s40_1_4	67421.5
CAP_n60_p30_s40_1_5	54017.5
CAP_n60_p30_s40_2_2	159114
CAP_n60_p30_s40_2_3	106070
CAP_n60_p30_s40_2_4	79566
CAP_n60_p30_s40_2_5	63750
CAP_n60_p30_s40_3_2	158953.5
CAP_n60_p30_s40_3_3	105976.5
CAP_n60_p30_s40_3_4	79500.5
CAP_n60_p30_s40_3_5	63828.5
CAP_n60_p30_s50_1_2	110478.5
CAP_n60_p30_s50_1_3	73593.5
CAP_n60_p30_s50_1_4	55347.5
CAP_n60_p30_s50_1_5	44460.5
CAP_n60_p30_s50_2_2	115299
CAP_n60_p30_s50_2_3	76977
CAP_n60_p30_s50_2_4	58062
CAP_n60_p30_s50_2_5	46737
CAP_n60_p30_s50_3_2	114135
CAP_n60_p30_s50_3_3	76057
CAP_n60_p30_s50_3_4	57162
CAP_n60_p30_s50_3_5	45747
CAP_n60_p30_s60_1_2	108113
CAP_n60_p30_s60_1_3	72077
CAP_n60_p30_s60_1_4	53940
CAP_n60_p30_s60_1_5	43150
CAP_n60_p30_s60_2_2	109908.5
CAP_n60_p30_s60_2_3	73218.5
CAP_n60_p30_s60_2_4	54884.5
CAP_n60_p30_s60_2_5	43882.5
CAP_n60_p30_s60_3_2	91619
CAP_n60_p30_s60_3_3	61134
CAP_n60_p30_s60_3_4	45759
